isc,Voc,FF,PCE,i_Rrad_MPP,i_Rsrh_MPP,i_Raug_MPP,i_RII_MPP,i_RIII_MPP,i_Rrad_OC,i_Rsrh_OC,i_Raug_OC,i_RII_OC,i_RIII_OC,i_Rrad_SC,i_Rsrh_SC,i_Raug_SC,i_RII_SC,i_RIII_SC
231.9368,0.880082551993959,0.672796636582155,13.7333625,8.348333e-05,0.0004283372,0.0001391954,12.20184,0.0005979881,0.00046962836,0.0021601352,0.0022225144,231.92426,0.0033388076,0.00046962836,0.0021601352,0.0022225144,231.92426,0.0033388076
121.7165,0.808256942065049,0.276701563115637,2.72214034013,0.192064866,0.248385789,35.1718548,0.00222768082,0.06008342,0.450289192,0.359863728,120.632364,0.00404080364,1.75650172,0.450289192,0.359863728,120.632364,0.00404080364,1.75650172
195.3206,0.770810552165965,0.629004800082225,9.4699930605,0.00844705698,0.1155071333,10.38665785,19.55448307,0.0003853784038,0.0236666624,0.25176526,45.1316684,150.227412,0.0386618348,0.0236666624,0.25176526,45.1316684,150.227412,0.0386618348
261.0559,0.868252922170266,0.446445123298152,10.11923892,34.661666,3.448039,2.6916094,0.288852800000001,81.286954,53.6679232,4.31847016,4.65990644,107.6824648,97.0090188,53.6679232,4.31847016,4.65990644,107.6824648,97.0090188
120.1782,0.950240970671053,0.66079198133306,7.54612875,0.02635843,0.0001332474,9.391535e-06,8.357142,0.0001021711,0.1293411,0.0006428741,0.0002420723,119.719,0.1417639,0.1293411,0.0006428741,0.0002420723,119.719,0.1417639
304.4402,0.804481666066768,0.365622151784781,8.9546919424,2.5901926,3.13998008,0.017687248,119.0453796,6.312671132e-06,53.0181292,12.2356852,0.977916067999999,238.798252,0.02773088,53.0181292,12.2356852,0.977916067999999,238.798252,0.02773088
264.1768,1.0156979963019,0.712966383889037,19.13058825,0.01616766,0.08432822,5.976676,11.25035,0.003093109,0.0437203608,0.185025652,31.3656864,232.661656,0.0588741828,0.0437203608,0.185025652,31.3656864,232.661656,0.0588741828
192.153,0.978974564836899,0.667320340580328,12.55315642,0.01395819,0.00078182618,0.13543636,15.197832,5.032523e-05,0.168850292,0.00930993439999999,8.16438439999997,182.927444,0.957103091999996,0.168850292,0.00930993439999999,8.16438439999997,182.927444,0.957103091999996
254.9669,0.775758186477887,0.634263930865676,12.545275,0.07352934,0.141801,6.593539e-07,3.839562,0.01289238,0.368330696,0.345568044,3.20937508e-05,219.255692,35.4280912,0.368330696,0.345568044,3.20937508e-05,219.255692,35.4280912
315.5103,0.898784059581759,0.228255405423947,6.472767,0.009727624,0.03947929,0.001516376,100.3962,0.000189874,0.0201694556,0.118520992,0.00242724172,316.067032,0.000347210896,0.0201694556,0.118520992,0.00242724172,316.067032,0.000347210896
